"filename", "language", "JavaScript", "XML", "JSON", "JSON with Comments", "Markdown", "JavaScript JSX", "TypeScript", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\produse-adauga\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\produse-grupare\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\produse-stoc\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\produse\[productName]\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\produse\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\recenzii\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\seo\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\setari-website\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\style.js", "JavaScript", 533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31, 566
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\admin\utilizatori\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
